date,value,cash,SPY_weight,TLT_weight,GLD_weight,SHV_weight
2020-11-25,258949.39208768227,-8.323562028894234,0.25216542021638777,0.261207106919132,0.26223522585329995,0.2244243905970825
2020-11-27,259103.87348442737,-8.323562028894234,0.25271707476640126,0.26358478774321653,0.25941959091331956,0.22431067099850402
2020-11-30,258269.5626902239,-8.323562028894234,0.25241097198138257,0.26410611799487577,0.25852039443826197,0.22499474378125398
2020-12-01,259384.04217413272,-8.323562028894234,0.25407533249178554,0.25909415777061673,0.26283056403578436,0.22403203542467812
2020-12-02,259502.05932017235,-8.323562028894234,0.2544940217324961,0.25692090346606244,0.26468700048505756,0.22393014944538556
2020-12-03,260562.48648518394,-8.323562028894234,0.2533891539081358,0.25793864943707184,0.26568533409187917,0.22301880715379097
2020-12-04,259954.7821526575,-8.323562028894234,0.25617025568820984,0.2547500160233404,0.26555132726223213,0.2235604202949533
2020-12-07,261444.86364778067,-8.323562028894234,0.2541868583370099,0.2555829890397113,0.26797573162235777,0.22228625777871333
2020-12-08,262194.1528977521,-8.323562028894234,0.2542020509644507,0.25605683785699007,0.26814192324555974,0.22163093372876547
2020-12-09,260177.97307479213,-8.323562028894234,0.2538744182829512,0.25718825676935664,0.2656006753958931,0.22336864135314374
2020-12-10,260622.55181952583,-8.323562028894234,0.25335840441711016,0.25902535204004634,0.26464036590381534,0.22300781486767848
2020-12-11,260906.97362383566,-8.323562028894234,0.2527854597178813,0.2596587099344428,0.26484320604856926,0.22274452671211342
2020-12-14,260043.34805818915,-8.323562028894234,0.2524894526094049,0.25979898923476097,0.2642592867264578,0.22348427979294735
2020-12-15,261661.0704445148,-8.323562028894234,0.25432091725543404,0.2573285609737267,0.26629986951210705,0.22208246273025084
2020-12-16,261976.0921172797,-8.323562028894234,0.25441364087398405,0.2563349913024295,0.26744762869578403,0.22183551134778487
2020-12-17,262908.2278957319,-8.323562028894234,0.2549292703089455,0.25475033974159683,0.26930305147062056,0.22104899805105943
2020-12-18,262319.73528502934,-8.323562028894234,0.2544810311793502,0.2545567284927419,0.26944906774649874,0.22154490317926076
2020-12-21,262121.5283334396,-8.323562028894234,0.25376294344496686,0.25575941470502533,0.268796968907398,0.22171242753400794
2020-12-22,261793.2593454165,-8.323562028894234,0.25365280168936477,0.25740164476745403,0.2670070227032357,0.2219703252492047
2020-12-23,261857.3497469424,-8.323562028894234,0.25381863380790126,0.255560761912332,0.26871628557396426,0.2219361053332807
2020-12-24,262661.14378435066,-8.323562028894234,0.2540263589360108,0.2557868205422152,0.2689615720647381,0.22125693781127004
2020-12-28,263002.61357507313,-8.323562028894234,0.2558759812459082,0.2555684870369709,0.2676375318040226,0.2209496481234173
2020-12-29,263050.4561745668,-8.323562028894234,0.25534136652009803,0.2551972851946146,0.2685635112743499,0.22092947946520258
2020-12-30,263832.32205836463,-8.323562028894234,0.2549479478081479,0.2549913973410179,0.26981744757296383,0.22027475595986634
2020-12-31,264541.9262791984,-8.323562028894234,0.2555558870533422,0.2546786396138446,0.2700931399456671,0.21970379744332025
2021-01-04,265117.3712053494,-8.169946713302625,0.2500077040846816,0.2500077040846816,0.2500077040846816,0.2500077040846816
2021-01-05,265277.9800537556,-8.169946713302625,0.25157724916589214,0.2480008774338457,0.2505963306700558,0.2498563404116109
2021-01-06,263252.77142803755,-8.169946713302625,0.25502825261933243,0.2447785636833281,0.24842291645656606,0.2518013018493323
2021-01-07,263529.57207967946,-8.169946713302625,0.25854540213745497,0.24236616306353342,0.2475826167184836,0.2515368200916072
2021-01-08,261473.5997480605,-8.169946713302625,0.26206311600480886,0.24348345805387256,0.240992979436742,0.2534916922851112
2021-01-11,260776.91213254063,-8.169946713302625,0.26099202888806333,0.24373056101436813,0.24116285092749534,0.2541458884263578
2021-01-12,261147.96078424464,-8.169946713302625,0.2606762753485801,0.24319095578306144,0.24237926503364096,0.2537847885772396
2021-01-13,261773.82534014367,-8.169946713302625,0.26075330488051424,0.24534163231736802,0.2407582480577972,0.2531780246894046
2021-01-14,260900.4382567993,-8.169946713302625,0.26071001882377054,0.2438569289307948,0.241438806352034,0.25402556031651125
2021-01-15,259875.31738082864,-8.169946713302625,0.259829645472637,0.24579049378681211,0.239383692823674,0.25502760586487316
2021-01-19,261138.7163958136,-8.169946713302625,0.2606028532399166,0.24539060790020076,0.240244052075461,0.253793772634433
2021-01-20,263165.1292495856,-8.169946713302625,0.2621748505159555,0.24374093286433024,0.24227574086438072,0.25183952069938287
2021-01-21,262737.8281856738,-8.169946713302625,0.2628405690778436,0.24242386143176833,0.2425175675151901,0.25224909740888446
2021-01-22,262197.89674323733,-8.169946713302625,0.2624496162635891,0.24370933035293504,0.24110367108026462,0.2527685417702199
2021-01-25,263276.8838554127,-8.169946713302625,0.26240478896216923,0.24557095022775405,0.24032267160148396,0.2517326209748218
2021-01-26,262890.7780037612,-8.169946713302625,0.26238005074989207,0.24546765809111823,0.24008102958226998,0.25210233891908745
2021-01-27,260975.11043983916,-8.169946713302625,0.2578462792721588,0.24789805379189025,0.24031108490432507,0.25397588749481564
2021-01-28,261248.39236110472,-8.169946713302625,0.25979176987165287,0.24626993365659927,0.2402823429579856,0.2536872262295078
2021-01-29,259483.14428317733,-8.169946713302625,0.25632279611444253,0.24645359883258208,0.2418189022759135,0.25543618823919423
2021-02-01,261247.25952953726,-8.169946713302625,0.25882973339391635,0.24507301079406713,0.24244020238443345,0.25368832627893473
2021-02-02,261019.96291622563,-8.169946713302625,0.2627181670174315,0.24370511344939377,0.23969878112598114,0.25390923849099567
2021-02-03,260426.96387076372,-8.169946713302625,0.26352353625531566,0.2420926666765603,0.23988165324555816,0.2545335151774819
2021-02-04,259687.44905751446,-8.169946713302625,0.2672775737765107,0.2421333486865034,0.23538531015497255,0.2552352280734829
2021-02-05,260043.5852213856,-8.169946713302625,0.2679620758695242,0.2397770533996132,0.2373835179290809,0.25490877040705096
2021-02-08,261436.2611592547,-8.169946713302625,0.2684595701784098,0.23954707589434274,0.23849670794770653,0.25352789622262906
2021-02-09,261645.4106181472,-8.169946713302625,0.26806638016300033,0.23953254335124186,0.23908411419804138,0.2533481875505406
2021-02-10,262260.8405270487,-8.169946713302625,0.26732074620047586,0.24056040794201983,0.23939632548002734,0.25275367236607293
2021-02-11,261477.45126316822,-8.169946713302625,0.2685547537754804,0.23996037893414268,0.23802815421189188,0.2534879583987749
2021-02-12,260855.9840792458,-8.169946713302625,0.2705243026583131,0.23754457200677911,0.23787057320600152,0.2540918718885129
2021-02-16,258960.728603387,-8.169946713302625,0.27226813029677743,0.23563971366412745,0.23617221134816266,0.2559514936704143
2021-02-17,258670.05249120077,-8.169946713302625,0.2726366848124807,0.23740241465894268,0.23375337011275157,0.2562391148479408
2021-02-18,258117.78712308055,-8.169946713302625,0.2720571280437909,0.23694774129150556,0.23423942204048248,0.25678736063396573
2021-02-19,257431.66736141834,-8.169946713302625,0.27230057664218543,0.23442130539088726,0.23583809118009522,0.25747176315709697
2021-02-22,257342.20298170354,-8.169946713302625,0.2703000762667441,0.23271879259837083,0.23945160596013462,0.257561272578086
2021-02-23,257112.17640735355,-8.169946713302625,0.27087034078589,0.2322553126335938,0.23911442144844874,0.2577917009383613
2021-02-24,257444.27267876195,-8.169946713302625,0.27350200867237845,0.23043404550478844,0.23863652414545186,0.25745915649372925
2021-02-25,253616.8436603646,-8.169946713302625,0.2709397729331931,0.23009175412599875,0.237679793877219,0.2613208928022171
2021-02-26,253740.21244361505,-8.169946713302625,0.26941270830730885,0.23758273074488268,0.23181925372722234,0.26121750529685717
2021-03-01,254499.26484234116,-8.169946713302625,0.27512027452840654,0.23374551608789243,0.23072789590237236,0.26043841552578195
