date,open,high,low,close,volume,amount
2020-11-18,4889.6749,4911.0876,4870.7162,4891.6716,16421661600,290727223227.2000
2020-11-19,4880.9224,4939.7911,4870.2005,4927.9891,13368137800,247727135000.5000
2020-11-20,4928.2223,4947.4297,4922.5895,4943.2882,12940034100,229053679195.4000
2020-11-23,4954.5987,5029.6515,4940.4494,5005.0273,20591518700,333633826416.7000
2020-11-24,4997.0485,5001.0614,4960.9817,4974.2855,15663791100,264804443317.7000
2020-11-25,4992.7466,5004.7732,4910.7000,4910.7000,17034052700,277070642970.7000
2020-11-26,4908.3208,4925.2857,4867.8153,4919.5912,13720233800,239748145475.7000
2020-11-27,4930.5928,4980.7650,4917.3479,4980.7650,16295292200,253178971224.0000
2020-11-30,4994.1063,5055.1920,4960.2519,4960.2519,26263895000,396495834420.8000
2020-12-01,4963.1302,5072.5494,4963.1302,5067.0983,20406563800,328451014444.2000
2020-12-02,5072.9755,5090.6084,5043.3091,5067.1447,19543547600,310609728842.5000
2020-12-03,5065.4531,5072.3046,5033.7887,5057.0603,17786574800,275335207429.1000
2020-12-04,5049.5231,5072.3865,5017.8506,5065.9163,14434716700,257798820735.0000
2020-12-07,5065.7285,5067.8698,5014.6090,5022.2351,13989621700,264657773932.9000
2020-12-08,5029.1063,5043.0605,4998.9218,5009.8786,12307302900,234880648439.1000
2020-12-09,5022.3846,5033.6417,4942.5195,4942.6986,13891696500,260772774152.9000
2020-12-10,4931.2933,4962.7433,4919.7696,4940.5249,12591427000,229651278357.4000
2020-12-11,4957.8236,4957.8236,4849.3547,4889.6292,15935769700,275212730069.9000
2020-12-14,4903.6270,4937.2601,4887.6599,4934.8352,12080155200,247878279711.0000
2020-12-15,4931.6019,4954.1885,4904.7926,4945.1000,11834263300,248093390249.2000
2020-12-16,4957.2971,4968.8558,4938.1932,4953.8670,10677896800,229696035696.9000
2020-12-17,4960.7290,5021.6171,4950.3713,5017.4784,13338547900,270180356109.3000
2020-12-18,5014.3211,5027.4446,4979.0051,4999.9678,12804961800,258938551535.8000
2020-12-21,4995.7622,5048.5074,4969.9990,5046.8396,14081178200,298204296843.3000
2020-12-22,5034.9831,5055.1348,4960.9457,4964.7727,16234497000,326758817663.3000
2020-12-23,4977.2994,5028.4506,4968.1509,5007.1235,14029281900,308729037473.7000
2020-12-24,5006.0051,5033.0380,4979.2371,5000.0154,11441866700,246674476188.8000
2020-12-25,4985.7695,5042.0978,4973.6812,5042.0137,12100697900,243992268243.3000
2020-12-28,5042.9432,5089.3447,5037.8582,5064.4147,13691440700,281019254170.5000
2020-12-29,5071.4490,5077.4167,5034.3078,5042.9361,14119866200,279035233253.8000
2020-12-30,5037.9848,5113.7105,5036.6288,5113.7105,14862644800,296577812603.0000
2020-12-31,5122.4799,5215.6178,5122.4799,5211.2885,17160250900,358731371834.7000
2021-01-04,5212.9313,5284.4343,5190.9372,5267.7181,21171138200,452796175554.0000
2021-01-05,5245.8355,5368.5049,5234.3775,5368.5049,22493115900,498041939761.0000
2021-01-06,5386.5144,5433.4694,5341.4304,5417.6677,19377344400,444434377137.3000
2021-01-07,5428.3944,5513.6568,5413.3526,5513.6568,21987208000,473385353695.8000
2021-01-08,5526.2876,5547.4733,5442.6939,5495.4306,20432495600,473567653978.6000
2021-01-11,5504.2358,5555.6916,5412.5046,5441.1583,23183598300,522298482544.3000
2021-01-12,5419.4996,5596.3525,5417.6272,5596.3525,22422018600,486233760739.8000
